"county","center","phone","ages","capacity","city","addr1","addr2","zip","inspections"
"Bergen","The Wyckoff Reformed Church Nursery Sch","201-847-1330","2½ to 6","94","Wyckoff","580 Wyckoff Ave",,"07481","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02WYC0002.shtml)"
"Warren","Allamuchy Before and After School Program","908-852-1894","6 to 13","50","Allamuchy","1686 County Route 517","Mountain Villa School","07820","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/080700042.shtml)"
"Morris","Stony Brook School","973-627-2411","6 to 13","60","Rockaway","44 Stoneybrook Rd",,"07866","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/14STO0003.shtml)"
"Morris","Wide Horizons After School Program","908-689-9312","6 to 13","120","Long Valley","90 Flocktown Rd","C/O Kossmann School","07853","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/14WID0002.shtml)"
"Morris","Birchwood School","973-361-7080","6 to 13","60","Rockaway","Art Street",,"07801","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/14BIR0004.shtml)"
"Morris","Dennis O'Brien School","973-361-7330","6 to 13","30","Dover","Mineral Spring Dr",,"07801","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/14DEN0002.shtml)"
"Morris","Marie Duffy School","973-583-4770","6 to 13","30","Wharton","137 E Central Ave",,"07885","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/14MAR0001.shtml)"
"Morris","Katharine D Malone School","973-627-7512","6 to 13","30","Rockaway","524 Green Pond Road",,"07866","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/120800036.shtml)"
"Morris","Catherine A. Dwyer School","973-583-4772","6 to 13","45","Wharton","665 Mt. Hope Ave",,"07885","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/14CAT0001.shtml)"
"Sussex","Byram After-School Program","973-347-2553","6 to 13","28","Stanhope","11 Mansfield Dr",,"07874","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/19BYR0001.shtml)"
"Bergen","Father Justin's Learning Center","201-944-1376","2½ to 6","86","Palisades Park","223 14th Street",,"07650","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02FAT0008.shtml)"
"Morris","Pompton Plains Pre-School","973-839-2833","2½ to 13","52","Pompton Plains","525 Newark Pompton Tpke",,"07444","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/14POM0001.shtml)"
"Bergen","Temple Sinai Early Childhood","201-568-6867","2 to 6","225","Tenafly","1 Engle Street",,"07670","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02TEM0006.shtml)"
"Bergen","Glen Rock Cooperative Nursery School","201-652-1228","2½ to 6","60","Glen Rock","354 Rock Rd",,"07452","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02COO0002.shtml)"
"Bergen","First Presbyterian Pre-school & Kindergarten","201-568-3042","2½ to 6","105","Englewood","150 E Palisades Ave",,"07631","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02FIR0003.shtml)"
"Bergen","Zion Lutheran Early Childhood Center","201-664-8060","2½ to 6","60","Westwood","64 First Ave",,"07675","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02ZIO0001.shtml)"
"Bergen","All Saints Child Care Center","201-947-1288","0 to 13","94","Leonia","150 Park Ave",,"07605","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02ALL0001.shtml)"
"Essex","Playhouse, Inc.","973-736-9451","2½ to 6","99","West Orange","88 Franklin Ave",,"07052","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07PLA0001.shtml)"
"Essex","St. Stephen's Preschool and Child Care Center","973-376-3534","0 to 6","129","Millburn","119 Main Street",,"07041","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/080800029.shtml)"
"Hudson","Bayonne Family Community Center","201-339-2330","0 to 13","80","Bayonne","259 Ave E",,"07002","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/09BAY0006.shtml)"
"Passaic","The Skylands Learning Center","973-962-0859","0 to 13","99","Ringwood","145 Carletondale Rd",,"07456","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/16COM0003.shtml)"
"Somerset","First Baptist Church Preschool","908-725-1016","2½ to 6","65","Somerville","132 W High Street",,"08876","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/18FIR0001.shtml)"
"Bergen","Boys & Girls Club of Lodi","973-473-7410","6 to 13","408","Lodi","460 Passaic Ave",,"07644","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02BOY0002.shtml)"
"Bergen","Boys & Girls Club of Hackensack","201-880-7244","6 to 13","125","Hackensack","170 B Sussex Street",,"07601","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/101000054.shtml)"
"Middlesex","Kidsports Family Fun & Fitness Center","732-634-5000","2½ to 13","170","Woodbridge","585 Main Street",,"07095","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/12KID0002.shtml)"
"Somerset","Rocky Hill Cooperative Nursery School","609-924-9521","2½ to 6","20","Rocky Hill","15 Montgomery Ave",,"08553-0219","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/18ROC0001.shtml)"
"Bergen","Northvale Preschool Play Group","201-784-5062","2½ to 13","30","Northvale","116 Paris Ave","Borough Hall","07647-1532","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02NOR0001.shtml)"
"Monmouth","Montessori Enrichment Center","732-364-2244","0 to 6","95","Howell","115 Kent Road",,"07731","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/13MON0004.shtml)"
"Somerset","South Branch Reformed Church Nursery School","908-369-7885","2½ to 6","60","Hillsborough","870 River Rd",,"08844","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/18SOU0001.shtml)"
"Hudson","Little Lamb Preschool","201-437-6244","0 to 6","104","Bayonne","100 E 22nd St",,"07002","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171000050.shtml)"
"Hudson","Beacon Christian Academy","201-437-5056","6 to 13","130","Bayonne","30 Prospect Avenue",,"07002","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170900195.shtml)"
"Mercer","Saint Matthew's Preschool","609-737-6795","0 to 6","84","Pennington","300 S Main Street",,"08534","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/11SAI0004.shtml)"
"Somerset","The Academy Child Care Center of ELCC","732-247-0408","0 to 13","120","Somerset","322 Franklin Blvd Bldg #2",,"08873","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/18ACA0001.shtml)"
"Camden","St. John Baptist Church Youth Dev. Ctr.","856-365-3385","0 to 6","60","Camden","30th & Howell Streets",,"08105","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/080800026.shtml)"
"Camden","Pennie's Place Child Care","856-546-0530","0 to 6","120","Audubon","256 & 266 White Horse Pike",,"08106","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/04PEN0003.shtml)"
"Union","Egenolf Early Childhood Center","908-352-7508","2½ to 13","280","Elizabeth","725 Newark Ave",,"07208","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20EGE0001.shtml)"
"Gloucester","Tra-Cee Nursery School (Woodbury Center)","856-845-2600","0 to 13","30","Woodbury","67 Oak Street",,"08096","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/08TRA0001.shtml)"
"Gloucester","Tra-Cee Nursery School, Inc.","856-423-5890","0 to 13","30","Paulsboro","337 Mantua Ave",,"08066","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/08TRA0002.shtml)"
"Bergen","The Green Twig School, Inc.","201-445-0747","0 to 6","75","Midland Park","30 Paterson Ave",,"07432","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02GRE0002.shtml)"
"Burlington","Gaul's Nursery & Arts Centre","856-779-0802","2½ to 6","49","Maple Shade","528 E Main Street",,"08052","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/03GAU0001.shtml)"
"Essex","Pilsbury Nursery School, Inc.","973-746-2135","2½ to 6","60","Upper Montclair","433 Park Street",,"07043","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07PIL0002.shtml)"
"Monmouth","Little One's Nursery School","732-531-8959","2½ to 6","48","Deal","201 Roseld Ave","Deal School","07723","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/13LIT0005.shtml)"
"Union","Discovery Child Care Center","908-272-3500","0 to 13","151","Cranford","1 Commerce Dr",,"07016","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20DIS0002.shtml)"
"Ocean","Ocean Gymnastics Academy - Oceans of Fun Nursery School","732-270-4500","2½ to 6","30","Toms River","1200 Fischer Blvd",,"08753","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/15OCE0001.shtml)"
"Gloucester","TLC Day Care Center, Inc.","856-589-2404","2½ to 13","60","Sewell","356 Greentree Rd",,"08080","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/08TLC0001.shtml)"
"Hudson","Family Collective Day Care Center, Inc.","201-333-8077","2½ to 13","30","Jersey City","450 Martin Luther King Drive",,"07304","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/101000091.shtml)"
"Monmouth","The Little Chief Learning Station, II","732-747-6700","2½ to 6","60","Holmdel","P.O. Box 452","112 Middletown Road","07733","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/13LIT0010.shtml)"
"Morris","All American Kids Club, Inc.","908-879-5313","6 to 13","101","Chester","Dickerson School","250 Route 24","07930","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/14ALL0004.shtml)"
"Hudson","Mrs. P's Small World","201-863-0148","2½ to 13","98","Union City","2201 Bergenline Ave",,"07087","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/09MRS0001.shtml)"
"Hudson","Mrs P's Small World II Day Care Center","201-863-0148","2½ to 13","26","Union City","1011 Bergenline Ave",,"07087","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/09MRS0002.shtml)"
"Monmouth","Teddy Bear Learning Center","732-747-8583","0 to 13","98","Lincroft","11 Middletown-Lincroft Rd",,"07738","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/13TED0001.shtml)"
"Ocean","Forever Young Nursery School","609-971-2900","0 to 13","85","Forked River","1030 Lacey Rd",,"08731","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/15FOR0001.shtml)"
"Monmouth","Leapfrog Learning Center","732-530-1442","2½ to 6","90","Shrewsbury","174 Patterson Ave",,"07702","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/13LEA0003.shtml)"
"Morris","Friendship Center, Inc.","908-852-2221","2½ to 13","60","Hackettstown","420 Schooley's Mountain Rd",,"07840","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/14FRI0001.shtml)"
"Morris","Lil Peoples Playhouse, Inc.","908-647-0950","0 to 6","49","Stirling","1288 Valley Rd",,"07980","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/14LIL0001.shtml)"
"Union","All Because of Christ Day Care Center","908-686-8335","2½ to 13","14","Vauxhall","30 Emily Ave",,"07088","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20ALL0001.shtml)"
"Essex","Gospel Christian Academy Childcare & Learning Center","973-399-5099","0 to 13","48","Newark","688-692 Springfield Ave",,"07103","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07GOS0003.shtml)"
"Sussex","Acorn Landing Children's Center","973-948-9924","2½ to 13","26","Branchville","96 Broad Street",,"07826","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/19ACO0001.shtml)"
"Burlington","Cathedral of Love Christian Academy & Pre-school","609-877-9377","2½ to 13","85","Willingboro","139 Beverly-Rancocas Rd",,"08046","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/03CAT0001.shtml)"
"Morris","Mountain Lakes Country Day School","973-983-9831","0 to 6","90","Mountain Lakes","356 Route 46 E",,"07046","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/14MOU0010.shtml)"
"Middlesex","Kiddie Kingdom Child Care & Learning Center, Inc.","732-398-8898","0 to 6","90","North Brunswick","2190 Rte. 130 N",,"08902","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/12KID0010.shtml)"
"Somerset","Taylor's Learning Center","908-222-1114","2½ to 13","30","North Plainfield","624 Somerset Street",,"07060","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/18TAY0001.shtml)"
"Somerset","The Goddard School","908-371-1499","0 to 13","177","Hillsborough","378 S Branch Rd","Bldg. #5","08844","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/18GOD0002.shtml)"
"Atlantic","Toddler Town Infant Nursery & Preschool","609-561-7300","0 to 6","55","Hammonton","425 S Egg Harbor Rd",,"08037","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/01TOD0001.shtml)"
"Middlesex","Precious Moments Academy, Inc.","732-424-0770","0 to 13","58","Dunellen","358 North Avenue",,"08812","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/12PRE0001.shtml)"
"Hudson","It Takes A Village, Inc.","201-985-9555","2½ to 13","33","Jersey City","496 Ocean Ave",,"07305","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/09ITT0001.shtml)"
"Monmouth","Future Generation Academy","732-615-0400","0 to 13","162","Holmdel","2077 Route 35 N",,"07733","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/13TUT0002.shtml)"
"Hudson","The Kids Place","201-662-4844","0 to 13","64","West New York","128-130 62nd Street",,"07093","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/09KID0011.shtml)"
"Hudson","Kids Place II","201-330-8255","0 to 13","43","West New York","5701 Jackson Street",,"07093","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/09KID0021.shtml)"
"Camden","Joyful Sounds","856-627-7800","0 to 6","30","Clementon","260 White Horse Ave",,"08021","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/04JOY0001.shtml)"
"Hunterdon","First Step Learning Center of Lebanon","908-236-7669","2½ to 6","49","Lebanon","3 Haytown Rd",,"08833","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/10FIR0001.shtml)"
"Middlesex","Minding Miracles Learning Center","732-316-4884","2½ to 13","19","Old Bridge","90 Spring Hill Rd",,"08857","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/12MIN0001.shtml)"
"Monmouth","Minding Miracles learning Center","732-291-0810","0 to 6","53","Leonardo","45 Appleton Ave",,"07737","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/13LIT0008.shtml)"
"Bergen","Creative Minds Montessori","201-263-9393","2½ to 6","50","Old Tappan","288 Old Tappan Rd",,"07675","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02CRE0003.shtml)"
"Bergen","Church of the Savior Nursery School","201-261-0420","2½ to 6","69","Paramus","643 Forest Ave",,"07652","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02CHU0001.shtml)"
"Morris","Mendham Cooperative Nursery School","973-543-6401","2½ to 6","37","Mendham","8 Orchard Street",,"07945","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/14MEN0002.shtml)"
"Morris","Chatham Methodist Preschool","973-635-5261","0 to 6","82","Chatham","460 Main Street",,"07928","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/14CHA0001.shtml)"
"Bergen","Boys & Girls Club of Garfield","973-478-7662","6 to 13","279","Garfield","490 Midland Ave",,"07026","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02BOY0005.shtml)"
"Bergen","Reformed Church Nursery School","201-261-0258","2½ to 6","33","Oradell","641 Church Street","Box 240","07649","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02REF0001.shtml)"
"Ocean","Smarty Pants","732-262-8308","0 to 13","90","Brick","515 Brick Blvd",,"08723","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/15SMA0003.shtml)"
"Bergen","Temple Beth El Nursery School","201-768-3726","0 to 6","118","Closter","221 Schraalenburgh Rd",,"07624","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02TEM0001.shtml)"
"Union","Presbyterian Church Preschool and Kindergarten","908-665-0951","2½ to 6","120","New Providence","1307 Springfield Ave",,"07974","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20PRE0004.shtml)"
"Union","New Providence Presbyterian Church Weekday Baby-sitting","908-790-1919","0 to 6","17","New Providence","1307 Springfield Ave",,"07974","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20NEW0002.shtml)"
"Union","Temple Emanu-El Early Childhood Education Program","908-232-7663","0 to 13","147","Westfield","756 E Broad Street",,"07090","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20TEM0003.shtml)"
"Essex","Our Lady of Fatima Nursery","973-589-1639","2½ to 13","100","Newark","79-81 Jefferson Street",,"07105","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07OUR0001.shtml)"
"Bergen","Our Lady of Perpetual Help Early Childhood School","201-405-8228","2½ to 6","185","Oakland","117 Franklin Ave",,"07436","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02OUR0003.shtml)"
"Bergen","Lollipop Day Nursery School & Day Camp, Inc.","201-391-5383","2½ to 6","148","Park Ridge","67 Spring Valley Rd",,"07656","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02LOL0001.shtml)"
"Somerset","The Christian Nurturing Center","908-369-5215","2½ to 6","100","Hillsborough","715 Amwell Rd",,"08844","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/18CHR0001.shtml)"
"Warren","Washington Nursery School, Inc.","908-689-4998","2½ to 6","37","Washington","40 E Church Street",,"07882","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/21WAS0004.shtml)"
"Middlesex","East Brunswick Jewish Center","732-257-7070","2½ to 6","59","East Brunswick","511 Ryders La",,"08816","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/12EAS0002.shtml)"
"Union","Westminster Nursery School","908-464-4880","2½ to 6","58","Berkeley Heights","725 Mountain Ave",,"07922","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20WES0005.shtml)"
"Somerset","Union Village Nursery School","908-647-4440","2½ to 6","75","Warren","Hillcrest Road & Mountain Ave",,"07059","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/18UNI0001.shtml)"
"Union","Christopher Academy","908-233-7447","2½ to 13","86","Westfield","510 Hillcrest Ave",,"07090","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20CHR0004.shtml)"
"Union","Christopher Academy","908-322-4652","2½ to 6","40","Scotch Plains","1390 Terrill Rd",,"07076","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20CHR0001.shtml)"
"Bergen","Parents Day Out","201-768-2796","2½ to 13","34","Harrington Park","1 Spring Street",,"07640","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02PAR0004.shtml)"
"Somerset","The Blawenburg Village School","609-466-6600","2½ to 6","94","Blawenburg","432 Route 518",,"08504","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/18BLA0001.shtml)"
"Hunterdon","Saint Paul Christian School","908-782-3979","2½ to 13","100","Flemington","201 Hwy 31",,"08822","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/10SAI0002.shtml)"
"Essex","Perpetual Help Day Nursery","973-484-3535","2½ to 6","189","Newark","170 Broad Street",,"07104","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07PER0001.shtml)"
"Bergen","Garfield YMCA Bright Beginnings CCC","973-772-7450","2½ to 13","164","Garfield","33 Outwater La",,"07026","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02GAR0001.shtml)"
"Bergen","Garfield YMCA - School #4","973-772-7450","2½ to 13","75","Garfield","Madona Pl",,"07026","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02GAR0006.shtml)"
"Bergen","Garfield YMCA - School #5","973-772-7450","2½ to 13","75","Garfield","207 Outwater La",,"07026","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02GAR0007.shtml)"
"Bergen","Garfield YMCA - School #8","973-772-7450","2½ to 13","64","Garfield","157 Cedar Street",,"07026","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02GAR0008.shtml)"
"Bergen","Garfield YMCA School 9","973-772-7450","6 to 13","43","Garfield","62 Alpine Street",,"07026","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170600160.shtml)"
"Bergen","Garfield YMCA School 10","973-772-7450","6 to 13","55","Garfield","55 Lincoln Place",,"07026","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/180700188.shtml)"
"Bergen","Les Enfants Pre-School","201-592-6695","2½ to 13","120","Palisades Park","223 14th Street",,"07650","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02LES0002.shtml)"
"Bergen","Jack in the Box School, Inc.","201-768-3586","2½ to 6","49","Closter","302 Closter Dock Rd",,"07624","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02JAC0001.shtml)"
"Bergen","Jack in the Box Early Learning Center","201-816-9471","0 to 6","80","Tenafly","55 Magnolia Avenue",,"07670","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/070800675.shtml)"
"Bergen","Jack in the Box Early Learning Center-Alpine","201-784-3900","2½ to 13","22","Alpine","500 Hillside Ave",,"07620","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02JAC0002.shtml)"
"Gloucester","Grow 'n Learn Nursery School & Day Care Center","856-853-0569","2½ to 13","54","Thorofare","4 E Lecato Ave",,"08086","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/08GRO0001.shtml)"
"Warren","ABC Playschool Nursery School","908-859-6292","2½ to 13","45","Phillipsburg","239 Warren Street",,"08865","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/21ABC0001.shtml)"
"Camden","New Horizons Preschool and Kindergarten","856-701-0175","2½ to 6","75","Voorhees","2303 Evesham Rd",,"08043","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/04PRE0004.shtml)"
"Monmouth","Sandy Hook Child Care Center","732-291-2368","2½ to 6","15","Highlands","Fort Hancock","Pennington Ave Bldg. T-335","07732","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/13SAN0002.shtml)"
"Union","Compass Schoolhouse","908-232-2084","0 to 6","141","Westfield","125 Elmer Street",,"07090-2125","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20WES0002.shtml)"
"Essex","West Ward Early Childhood Development Program","973-482-6602","2½ to 13","90","Newark","107-113 Roseville Ave",,"07107","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07WES0006.shtml)"
"Passaic","Agape Child Care Center","973-728-1028","0 to 13","94","West Milford","184 Marshall Hill Rd",,"07480","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/16AGA0001.shtml)"
"Ocean","Noah's Ark Day School","609-693-4900","0 to 13","80","Waretown","127 Wells Mills Rd",,"08758","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/15NOA0001.shtml)"
"Ocean","Manahawkin Methodist Preschool","609-597-0407","2½ to 6","46","Manahawkin","116 Stafford Ave",,"08050","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/15MAN0003.shtml)"
"Bergen","New Horizons Learning Center","973-777-7794","0 to 6","80","Lodi","361 Passaic Ave",,"07644","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02NEW0001.shtml)"
"Middlesex","Wesley Pre School","732-738-0885","2½ to 6","30","Edison","5053 Woodbridge Ave",,"08837","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/12WES0001.shtml)"
"Hudson","The Children Academy Day Care Center","201-433-1182","2½ to 6","30","Jersey City","2281 Kennedy Blvd",,"07304","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/09CHI0009.shtml)"
"Morris","Boys and Girls Club of Pequannock","973-633-9007","2½ to 13","144","Pequannock","19 Oak Ave",,"07440","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/14BOY0001.shtml)"
"Hudson","Tots World Child Care Center","201-432-2114","2½ to 13","119","Jersey City","122 Seaview Ave",,"07305","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/09TOT0002.shtml)"
"Ocean","Faith Lutheran Church Nursery School","732-793-6972","2½ to 13","30","Lavallette","1801 Grand Central Ave",,"08735","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/15FAI0001.shtml)"
"Mercer","Grow-Ville Community Day School","609-581-4769","2½ to 13","62","Groveville","449 Church Street",,"08620","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/11GRO0001.shtml)"
"Atlantic","READ Preschool","609-567-3321","2½ to 6","56","Hammonton","400 S Chew Rd",,"08037","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/01REA0001.shtml)"
"Union","Over the Rainbow Nursery School, Inc.","908-272-2466","2½ to 13","23","Cranford","25 South Avenue West",,"07016","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20OVE0001.shtml)"
"Union","Wonder World Nursery School","908-687-2452","2½ to 6","86","Union","1359 Morris Ave",,"07083","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20WON0001.shtml)"
"Monmouth","Smart Start Preschool","732-530-3870","2½ to 6","49","Fair Haven","786 River Road",,"07704","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/13SMA0003.shtml)"
"Essex","The Little Ones","973-395-2727","0 to 13","217","East Orange","43 Prospect Street",,"07017","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07LIT0025.shtml)"
"Middlesex","The Goddard School of Dayton","732-274-9631","0 to 6","109","Dayton","399 Ridge Rd Ste 1",,"08810","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/12GOD0002.shtml)"
"Union","Calvary Nursery School and Child Care","908-272-3962","2½ to 13","150","Cranford","108 Eastman Street",,"07016","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20CAL0001.shtml)"
"Gloucester","Let's Be Friends Pre-School","856-848-5544","2½ to 6","15","Woodbury","1 Budd Blvd","Budd Professional Bldg, Ste 1","08096","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/08LET0001.shtml)"
"Monmouth","Neighborhood Preschool & Learning Ctr.","732-747-0939","0 to 6","42","Red Bank","75 Hwy 35",,"07701","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/13NEI0001.shtml)"
"Hudson","A Step Ahead Preschool","201-869-5335","2½ to 6","36","North Bergen","610-76th Street",,"07047","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/09AST0001.shtml)"
"Bergen","Montessori of East Rutherford","201-896-0280","0 to 6","90","East Rutherford","144 Boiling Springs Ave",,"07073","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02MON0004.shtml)"
"Monmouth","First Discoveries Preschool & Day Care","732-747-8500","0 to 13","66","Middletown","70 Hwy 35",,"07748","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/13FIR0006.shtml)"
"Monmouth","First Discoveries II","732-671-6141","2½ to 13","45","Middletown","160 Old Country Rd",,"07748","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/13FIR0008.shtml)"
"Burlington","Medford Day Care","609-953-3736","0 to 13","60","Southampton","1633 State Hwy #70",,"08088","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/03MED0003.shtml)"
"Middlesex","The Tiny Tots Spot","732-448-1159","2½ to 13","85","New Brunswick","112 Lee Ave & 192 Hale Street",,"08901","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/12TIN0004.shtml)"
