"dcid","permit_number","program_name","facility_type","program_type","address","borough","zipcode","phone","age_range","capacity","administer_medication","bin","bbl","community_board","council_district","census_tract","nta_code","latitude","longitude"
"DC35098","104341","THE LEARNING EXPERIENCE","GCC","INFANT TODDLER","1012 BAY RIDGE AVE","BROOKLYN","11219","(718) 238-3606","0 YEARS - 2 YEARS","28","No","3146005","3058800010","310","38","020800","BK30","40.627364963698","-74.009989784877"
"DC35099","104342","THE LEARNING EXPERIENCE","GCC","PRESCHOOL","1012 BAY RIDGE AVENUE","BROOKLYN","11219","(718) 238-3606","2 YEARS - 5 YEARS","127","No","3146005","3058800010","310","38","020800","BK30","40.627364963698","-74.009989784877"
"DC35101","104176","WEILL CORNELL CHILDREN'S CENTER AT EAST 62ND","GCC","PRESCHOOL","315 EAST  62  STREET","MANHATTAN","10065","(646) 582-2966","2 YEARS - 5 YEARS","56","Yes","1044361","1014370007","108","05","011000","MN31","40.762270287533","-73.962450404385"
"DC35109","103891","Congregation Yeshiva Bnei Torah, Inc.","GCC","PRESCHOOL","1571 55TH STREET","BROOKLYN","11219","(718) 475-1200","2 YEARS - 5 YEARS","81","No","3130451","3054840053","312","44","023800","BK88","40.628141716408","-73.989772329384"
"DC35113","N/A","A PLUS KIDZ ACADEMY","SBCC","PRESCHOOL","10510 FLATLANDS AVENUE","BROOKLYN","11236","(718) 679-0052","3 YEARS - 5 YEARS","NO DATA","No","3398452","3082130038","318","46","098400","BK50","40.647614506569","-73.894522120739"
"DC35146","104220","WISDOM TREE","GCC","PRESCHOOL","347 91 STREET","BROOKLYN","11209","(347) 560-6086","2 YEARS - 5 YEARS","22","No","3154559","3060810042","310","47","005800","BK31","40.61978281891","-74.031133020817"
"DC35209","104223","LIL INVENTORS CHILD CARE WALLACE AVENUE","GCC","PRESCHOOL","2100 WALLACE AVENUE","BRONX","10462","(718) 502-6455","2 YEARS - 5 YEARS","57","No","2093291","2042920014","211","13","022800","BX49","40.853256629249","-73.864838928078"
"DC35224","104036","TINY FOOTSTEPS INC","GCC","INFANT TODDLER","167-01 UNION TURNPIKE","QUEENS","11366","(718) 969-5500","0 YEARS - 2 YEARS","18","No","4151757","4070030025","408","24","124100","QN38","40.722691628523","-73.800931009023"
"DC35229","103992","NEW YORK CHILD RESOURCE CENTER, INC.","GCC","PRESCHOOL","433 E 148TH ST","BRONX","10455","(718) 585-0600","2 YEARS - 5 YEARS","65","No","2000540","2022930073","201","17","004300","BX39","40.814824852218","-73.916943891886"
"DC35249","104253","LAC EARLY CHILDHOOD CENTER","GCC","PRESCHOOL","2 FIFTH AVENUE","MANHATTAN","10011","(212) 828-3975","NO DATA","31","No","1008850","1005510001","102","02","006300","MN23","40.731913828257","-73.996608298687"
"DC35260","104213","INNER FORCE TOTS, INC.","GCC","PRESCHOOL","133-40 79  STREET","QUEENS","11414","(718) 296-0555","2 YEARS - 5 YEARS","72","No","4541230","4113580001","410","32","006202","QN57","40.671829051876","-73.856675135856"
"DC41712","105825","B'ABOVE WORLDWIDE INSTITUTE, INC","GCC","INFANT TODDLER","63-47 BOOTH STREET","QUEENS","11374","(718) 896-8108","0 YEARS - 2 YEARS","18","No","4072109","4030817501","406","30","069300","QN18","40.728987115251","-73.864153864353"
"DC45333","106890","St. Nicks Alliance Corp.","GCC","PRESCHOOL","211 AINSLIE STREET","BROOKLYN","11211","(718) 963-0330","2 YEARS - 5 YEARS","75","No","3069039","3027700001","301","34","049500","BK90","40.712964757619","-73.945452475066"
"DC35294","104335","LUMINOUS EARLY CHILD CARE CENTER","GCC","INFANT TODDLER","16 RICHMAN PLAZA","BRONX","10453","(347) 963-4160","0 YEARS - 2 YEARS","18","No","2113628","2028820229","205","16","005300","BX36","40.851545412956","-73.922941656036"
"DC35299","103976","DREAM TREES LEARNING CENTER","GCC","PRESCHOOL","34-57 FRANCIS LEWIS BOULEVARD","QUEENS","11358","(718) 461-1800","2 YEARS - 5 YEARS","34","No","4446961","4060770048","411","19","109900","QN46","40.765431290615","-73.789117116644"
"DC35310","104011","United Academy, Inc.","GCC","PRESCHOOL","232 SKILLMAN ST","BROOKLYN","11205","(718) 694-2550","2 YEARS - 5 YEARS","18","No","3055217","3019270060","303","33","023500","BK69","40.691387336947","-73.956486500768"
"DC35313","104279","Bright Kids of America LLC","GCC","PRESCHOOL","113-15 76 ROAD","QUEENS","11375","(718) 268-8886","2 YEARS - 5 YEARS","29","No","4052778","4022650110","406","29","075701","QN17","40.718069617161","-73.833797900221"
"DC35324","105960","ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL","GCC","INFANT TODDLER","106 RIDGE STREET","MANHATTAN","10002","(718) 755-3597","0 YEARS - 2 YEARS","27","No","1004108","1003440076","103","02","002201","MN28","40.718822864273","-73.983250463571"
"DC35339","104037","CHINESE-AMERICAN PLANNING COUNCIL, INC.","GCC","PRESCHOOL","133-14 41  AVENUE","QUEENS","11355","(718) 358-8899","2 YEARS - 5 YEARS","39","Yes","4617434","4050410005","407","20","084900","QN22","40.756971609708","-73.832177224694"
"DC35389","104310","MSH 1456 LLC","GCC","INFANT TODDLER","1456 FIRST AVENUE","MANHATTAN","10028","(212) 879-3495","0 YEARS - 2 YEARS","59","No","1081245","1014707501","108","05","013200","MN31","40.770172214277","-73.954254219874"
"DC35390","104309","MSH 1456 LLC","GCC","PRESCHOOL","1456 FIRST AVENUE","MANHATTAN","10028","(212) 879-3495","2 YEARS - 5 YEARS","35","No","1081245","1014707501","108","05","013200","MN31","40.770172214277","-73.954254219874"
"DC35406","N/A","GREEN IVY PINE STREET SCHOOL","SBCC","PRESCHOOL","25 PINE STREET","MANHATTAN","10005","(347) 963-6757","3 YEARS - 5 YEARS","NO DATA","No","1001018","1000430002","101","01","000700","MN25","40.707320355821","-74.009633913875"
"DC35441","104234","THE MOUNT CARMEL EARLY CHILDHOOD CENTER","GCC","PRESCHOOL","10 WITHERS ST","BROOKLYN","11211","(917) 993-1330","2 YEARS - 5 YEARS","101","No","3335667","3023150001","301","33","051900","BK73","40.716618350051","-73.952292639661"
"DC35452","104381","HEAVEN'S TINY TOTS INC.","GCC","PRESCHOOL","2185 7  AVENUE","MANHATTAN","10027","(646) 476-9533","2 YEARS - 5 YEARS","48","No","1087836","1019147503","110","09","022400","MN03","40.811633754337","-73.946368354776"
"DC35464","104232","BILINGUAL NEST, LLC","GCC","PRESCHOOL","300 MANHATTAN AVE","MANHATTAN","10026","(917) 825-8763","2 YEARS - 5 YEARS","18","No","1055804","1018470039","110","09","019702","MN11","40.802852812019","-73.958407207532"
"DC35466","104231","BILINGUAL NEST, LLC","GCC","INFANT TODDLER","300 MANHATTAN AVENUE","MANHATTAN","10026","(917) 825-8763","0 YEARS - 2 YEARS","26","No","1055804","1018470039","110","09","019702","MN11","40.802852812019","-73.958407207532"
"DC35516","104184","Greater Flushing Community Council Inc","GCC","PRESCHOOL","47-49 162 STREET","QUEENS","11358","(718) 939-6060","2 YEARS - 5 YEARS","35","No","4124143","4054920008","407","20","120700","QN52","40.750808283291","-73.805275188873"
"DC35542","104344","Kissena Cherry Daycare Inc","GCC","PRESCHOOL","138-31 58  ROAD","QUEENS","11355","(718) 616-1818","2 YEARS - 5 YEARS","77","No","4139569","4063777501","407","20","079900","QN62","40.744708748511","-73.827137736071"
"DC35572","104226","All My Stars Day-care.","GCC","INFANT TODDLER","72-34 MAIN STREET","QUEENS","11367","(888) 831-1230","0 YEARS - 2 YEARS","28","No","4143395","4066210010","408","24","077902","QN37","40.725700572702","-73.821342494394"
"DC35590","104312","BRIGHT HORIZONS AT WEST 63RD","GCC","PRESCHOOL","400 WEST 63 STREET","MANHATTAN","10069","(646) 257-3420","2 YEARS - 5 YEARS","55","Yes","1088271","1011710148","107","06","015100","MN14","40.774657586817","-73.989951928917"
"DC35593","104313","BRIGHT HORIZONS AT WEST 63RD","GCC","INFANT TODDLER","400 WEST 63 STREET","MANHATTAN","10069","(646) 257-3420","0 YEARS - 2 YEARS","26","Yes","1088271","1011710148","107","06","015100","MN14","40.774657586817","-73.989951928917"
"DC35609","N/A","New York French American Charter School","SBCC","PRESCHOOL","311 WEST 120 STREET","MANHATTAN","10027","(212) 666-4134","3 YEARS - 5 YEARS","NO DATA","No","1059142","1019470023","110","09","025700","MN11","40.807325191851","-73.95430805701"
"DC35627","104828","LITTLE SCHOLARS EARLY DEVELOPMENT CENTER, LLC","GCC","INFANT TODDLER","3365 THIRD AVENUE","BRONX","10456","(718) 292-5761","0 YEARS - 2 YEARS","24","No","2129367","2023707501","203","16","018500","BX35","40.827317128049","-73.90741418783"
"DC35632","104829","LITTLE SCHOLARS EARLY DEVELOPMENT CENTER LLC","GCC","PRESCHOOL","3365 THIRD AVE","BRONX","10456","(718) 292-5761","2 YEARS - 5 YEARS","57","No","2129367","2023707501","203","16","018500","BX35","40.827317128049","-73.90741418783"
"DC35635","N/A","CONGREGATION OHR SHRAGA D'VERETZKY","SBCC","PRESCHOOL","4205 AVENUE P","BROOKLYN","11234","(718) 252-7777","3 YEARS - 5 YEARS","NO DATA","No","3254600","3078610006","318","45","065000","BK58","40.619158792644","-73.934179290492"
"DC35647","104116","BIG APPLE STARS","GCC","PRESCHOOL","11 NEW LOTS AVE","BROOKLYN","11212","(718) 345-3555","2 YEARS - 5 YEARS","31","No","3326600","3036280001","316","42","092000","BK81","40.656837274983","-73.904242207616"
"DC35648","104043","BIG APPLE STARS","GCC","INFANT TODDLER","11 NEW LOTS AVE","BROOKLYN","11212","(718) 345-3555","0 YEARS - 2 YEARS","18","No","3326600","3036280001","316","42","092000","BK81","40.656837274983","-73.904242207616"
"DC35665","N/A","AVENUES NEW YORK, LLC.","SBCC","PRESCHOOL","536 WEST   26 STREET","MANHATTAN","10001","(646) 664-0962","3 YEARS - 5 YEARS","NO DATA","No","1089424","1006970056","104","03","009900","MN13","40.750160986489","-74.004175827069"
"DC35696","104714","WIZ KIDS CENTER INC","GCC","INFANT TODDLER","2403 AVENUE X","BROOKLYN","11235","(646) 580-8443","0 YEARS - 2 YEARS","20","No","3202357","3074050441","315","48","059401","BK17","40.593191146547","-73.946180810541"
"DC35719","104221","All My Stars Day-care.","GCC","PRESCHOOL","72-34 MAIN STREET","QUEENS","11367","(888) 831-1230","2 YEARS - 5 YEARS","40","No","4143395","4066210010","408","24","077902","QN37","40.725700572702","-73.821342494394"
"DC35749","104371","SENECA VILLAGE PRESCHOOL","GCC","PRESCHOOL","24 FORD STREET","BROOKLYN","11213","(347) 470-2668","2 YEARS - 5 YEARS","40","No","3425987","3014150035","309","41","034900","BK61","40.665380801091","-73.929364643006"
"DC35750","104244","PLAYFUL DISCOVERIES","GCC","PRESCHOOL","1802 MATTHEWS AVENUE","BRONX","10462","(718) 828-7529","2 YEARS - 5 YEARS","36","No","2116333","2040550023","211","13","023200","BX37","40.846514723617","-73.861831010023"
"DC11877","7304","THE SALVATION  ARMY TREMONT DAY CARE  CENTER","GCC","PRESCHOOL","2121 WASHINGTON AVENUE","BRONX","10457","(718) 563-1530","2 YEARS - 5 YEARS","40","No","2115960","2030370015","206","15","039500","BX01","40.8520065966","-73.895266711504"
"DC35782","104562","RAINBOW CHILD DEVELOPMENT CENTER INC.","GCC","INFANT TODDLER","1-55 BORDEN  AVENUE","QUEENS","11101","(718) 361-2821","0 YEARS - 2 YEARS","8","No","4541408","4000067501","402","26","000100","QN31","40.742284631951","-73.959358180588"
"DC35820","104673","CHANGING TOMORROW CHILD CARE LLC","GCC","PRESCHOOL","257 GOLD STREET","BROOKLYN","11201","(205) 701-3333","2 YEARS - 5 YEARS","92","No","3396901","3001220013","302","33","001500","BK38","40.696864688542","-73.983147812674"
"DC2001","3095","GWENDOLYN B. BLAND DAY CARE CENTER","GCC","PRESCHOOL","749 EAST 163RD STREET","BRONX","10456","(718) 991-1050","2 YEARS - 5 YEARS","80","No","2091965","2026390001","203","17","013300","BX35","40.822950274367","-73.90410702831"
"DC35842","N/A","Peninsula Preparatory Academy Charter School","SBCC","PRESCHOOL","611 BEACH   19 STREET","QUEENS","11691","(347) 403-9231","3 YEARS - 5 YEARS","NO DATA","No","4463015","4155640063","414","31","101001","QN15","40.600656349209","-73.752037034373"
"DC35866","104386","ALL SEASONS ABC DAY CARE, LLC","GCC","INFANT TODDLER","190 EAST  162 STREET","BRONX","10451","(718) 410-9200","0 YEARS - 2 YEARS","18","No","2002804","2024600018","204","16","018301","BX14","40.82728057679","-73.920946369329"
"DC35870","104380","ALL SEASONS ABC  DAY CARE, LLC","GCC","PRESCHOOL","190 EAST  162 STREET","BRONX","10451","(718) 410-9200","2 YEARS - 5 YEARS","101","No","2002804","2024600018","204","16","018301","BX14","40.82728057679","-73.920946369329"
"DC35885","105245","THE CAEDMON SCHOOL","GCC","PRESCHOOL","416 EAST 80 STREET","MANHATTAN","10075","(212) 879-2296","2 YEARS - 5 YEARS","108","No","1081273","1015590005","108","05","013600","MN32","40.772633047764","-73.951306429881"
"DC359","3093","THE SALVATION ARMY BRONX CITADEL DAY CARE CENTER","GCC","PRESCHOOL","425 EAST 159TH STREET","BRONX","10451","(718) 742-2346","2 YEARS - 5 YEARS","32","No","2092353","2023810029","203","17","014100","BX35","40.822672363822","-73.913613588504"
"DC35907","104308","KINGS BAY YM-YWHA","GCC","INFANT TODDLER","309 GRAND  AVENUE","BROOKLYN","11238","(718) 872-9445","0 YEARS - 2 YEARS","13","No","3390845","3019660004","302","35","023100","BK69","40.686750784495","-73.962471460765"
"DC35930","104286","KINGS BAY YM - YWHA INC","GCC","PRESCHOOL","309 GRAND AVENUE","BROOKLYN","11238","(718) 872-9445","2 YEARS - 5 YEARS","42","No","3390845","3019660004","302","35","023100","BK69","40.686750784495","-73.962471460765"
"DC35935","N/A","DARKEI AVOS SANZ","SBCC","PRESCHOOL","1177 48 STREET","BROOKLYN","11219","(718) 851-0100","3 YEARS - 5 YEARS","NO DATA","No","3137190","3056270067","312","44","022200","BK88","40.637177849472","-73.994170263999"
"DC35991","N/A","VIZNITZER CHAIDER TIFERES YISROEL","SBCC","PRESCHOOL","1416 43 STREET","BROOKLYN","11219","(718) 633-5543","3 YEARS - 5 YEARS","NO DATA","No","3136244","3056060011","312","44","023200","BK88","40.63669129662","-73.985843717439"
"DC40981","105772","PRIMROSE OF MANHATTAN AT EAST 82ND STREET","GCC","INFANT TODDLER","350 E 82ND ST","MANHATTAN","10028","(212) 457-1778","0 YEARS - 2 YEARS","62","Yes","1087342","1015447501","108","05","013800","MN32","40.774771684001","-73.952431343703"
"DC36064","104285","STARLIGHT DAYCARE,  INC","GCC","PRESCHOOL","2585 CONEY ISLAND  AVENUE","BROOKLYN","11223","(718) 872-7188","2 YEARS - 5 YEARS","55","No","3201630","3073940002","315","48","058400","BK25","40.593625282859","-73.9608280748"
"DC36068","104595","The Q StudioLab LLC","GCC","PRESCHOOL","41-20 QUEENS BOULEVARD","QUEENS","11104","(718) 786-9100","2 YEARS - 5 YEARS","63","No","4002538","4001920030","402","26","018102","QN31","40.74365488652","-73.92306692637"
"DC36069","105241","LITTLE STARS THREE, INC","GCC","INFANT TODDLER","1420 BURKE AVENUE","BRONX","10469","(347) 947-3171","0 YEARS - 2 YEARS","16","No","2061698","2047600001","212","12","035800","BX03","40.872323222825","-73.846503839845"
"DC36070","105141","LITTLE STARS","GCC","INFANT TODDLER","4063 EDSON  AVENUE","BRONX","10466","(718) 994-0604","0 YEARS - 2 YEARS","18","No","2067475","2049800066","212","12","042600","BX62","40.89158526243","-73.844126290404"
"DC36107","104601","CITITOTS EARLY CHILDHOOD CENTER, INC.","GCC","INFANT TODDLER","814 MARCY AVENUE","BROOKLYN","11216","(718) 857-0902","0 YEARS - 2 YEARS","18","No","3051405","3018180042","303","36","024900","BK75","40.68572924672","-73.947299316826"
"DC36111","104315","BRIGHT HORIZONS AT WEST 72ND","GCC","INFANT TODDLER","253 WEST 72ND ST","MANHATTAN","10023","(646) 979-9771","0 YEARS - 2 YEARS","36","Yes","1030507","1011640005","107","06","015900","MN14","40.779322895673","-73.983311012887"
"DC36114","105293","Rella's Spielhaus","GCC","PRESCHOOL","50 WEST   97 STREET","MANHATTAN","10025","(646) 837-6777","2 YEARS - 5 YEARS","12","No","1055265","1018320043","107","07","018100","MN12","40.793235055092","-73.966300820073"
"DC36130","104573","JEWISH COMMUNITY CENTER OF STATEN ISLAND, INC.","GCC","INFANT TODDLER","2221 RICHMOND AVE","STATEN ISLAND","10314","(718) 475-5100","0 YEARS - 2 YEARS","30","No","5038357","5023800110","502","51","027706","SI24","40.592640169393","-74.163123411322"
"DC36131","104572","JEWISH COMMUNITY CENTER OF STATEN ISLAND, INC.","GCC","PRESCHOOL","2221 RICHMOND AVE","STATEN ISLAND","10314","(718) 475-5100","2 YEARS - 5 YEARS","148","No","5038357","5023800110","502","51","027706","SI24","40.592640169393","-74.163123411322"
"DC36139","105017","BOYS AND GIRLS CLUB OF METRO QUEENS INC.","GCC","PRESCHOOL","110-04 ATLANTIC AVENUE","QUEENS","11419","(718) 441-6050","2 YEARS - 5 YEARS","70","No","4197430","4093960001","409","29","011800","QN54","40.691895308609","-73.835612318608"
"DC36140","104260","Wiser Choice Learning Inc.","GCC","PRESCHOOL","1001 BROADWAY","BROOKLYN","11221","(718) 574-7558","2 YEARS - 5 YEARS","50","No","3072665","3031940006","304","34","039300","BK78","40.696023226476","-73.933529721922"
"DC36174","N/A","TOMER DVORA","SBCC","PRESCHOOL","869 45 STREET","BROOKLYN","11220","(718) 853-9400","3 YEARS - 5 YEARS","NO DATA","No","3406988","3007427501","312","38","009400","BK34","40.643068297693","-73.999391030473"
"DC36177","104707","THE PURPLE CRAYON","GCC","PRESCHOOL","1518 86TH ST","BROOKLYN","11228","(718) 844-1916","2 YEARS - 5 YEARS","31","No","3166171","3063600044","311","50","017200","BK27","40.61112140532","-74.009072528469"
"DC36182","104385","Child Development Center of the Mosholu-Montefiore Community Center","GCC","PRESCHOOL","3450 DEKALB AVENUE","BRONX","10467","(718) 654-0563","2 YEARS - 5 YEARS","152","No","2096396","2033270001","207","11","042100","BX43","40.881479579178","-73.881224851401"
"DC36185","104276","MAGEN DAVID YESHIVAH - EARLY CHILDHOOD CENTER","GCC","INFANT TODDLER","2170 MCDONALD AVENUE","BROOKLYN","11230","(718) 265-3331","0 YEARS - 2 YEARS","134","No","3190443","3070870034","311","44","041000","BK29","40.599864920862","-73.972844636968"
"DC36203","104623","JOY DAYCARE INC.","GCC","PRESCHOOL","145-38 34  AVENUE","QUEENS","11354","(917) 563-1338","2 YEARS - 5 YEARS","89","No","4618924","4049957501","407","20","115900","QN51","40.767130777383","-73.821783275135"
"DC36212","104329","ADAPTIVE SOLUTIONS MULTI SERVICES (ST,OT, PT, PSY) PLLC","GCC","PRESCHOOL","185 HEGEMAN AVENUE","BROOKLYN","11212","(347) 529-2617","2 YEARS - 5 YEARS","24","No","3082902","3036280006","316","42","092000","BK81","40.656604655678","-73.905067883105"
"DC36224","104621","CENTER FOR LIFE AND FAITH, INC.","GCC","PRESCHOOL","325 EAST  101 STREET","MANHATTAN","10029","(212) 831-5506","2 YEARS - 5 YEARS","40","No","1052654","1016737501","111","08","016400","MN33","40.787174231207","-73.944131133607"
"DC36265","104240","MARC  ACADEMY AND FAMILY CENTER","GCC","PRESCHOOL","55 EAST  175 STREET","BRONX","10453","(718) 562-3410","2 YEARS - 5 YEARS","106","No","2115885","2028500034","205","14","022701","BX41","40.847241485318","-73.911271909037"
"DC36272","104257","LAC EARLY CHILDHOOD CENTER","GCC","INFANT TODDLER","2 FIFTH AVENUE","MANHATTAN","10011","(212) 828-3975","NO DATA","36","No","1008850","1005510001","102","02","006300","MN23","40.731913828257","-73.996608298687"
"DC36280","105560","BED STUY KIDS, INC.","GCC","PRESCHOOL","260 JEFFERSON   AVENUE","BROOKLYN","11216","(347) 325-4024","2 YEARS - 5 YEARS","71","No","3052305","3018330038","303","36","024900","BK75","40.683544561959","-73.94763997327"
"DC36324","104332","QSAC, INC","GCC","PRESCHOOL","3200 JEROME AVENUE","BRONX","10468","(718) 728-8476","2 YEARS - 5 YEARS","87","No","2017669","2033230036","207","11","041100","BX05","40.87730010152","-73.887415905159"
"DC36328","N/A","ST. ELIZABETH CATHOLIC ACADEMY","SBCC","PRESCHOOL","94-16 85 STREET","QUEENS","11416","(718) 843-0914","3 YEARS - 5 YEARS","NO DATA","No","4438433","4090150001","409","32","003400","QN53","40.685558025848","-73.856346241995"
"DC36334","104738","Blue Sky Day Care Center","GCC","PRESCHOOL","4111 AVENUE J","BROOKLYN","11210","(718) 758-4946","2 YEARS - 5 YEARS","30","No","3215074","3077670006","318","45","073400","BK58","40.627646870226","-73.936307190474"
"DC36335","104328","TRIBECA COMMUNITY SCHOOL","GCC","PRESCHOOL","22 ERICSSON PLACE","MANHATTAN","10013","(212) 226-9070","2 YEARS - 5 YEARS","100","Yes","1002167","1001907504","101","01","003300","MN24","40.720478954614","-74.007225965576"
"DC36341","104327","TRIBECA COMMUNITY SCHOOL","GCC","PRESCHOOL","124 HUDSON ST","MANHATTAN","10013","(212) 226-9070","2 YEARS - 5 YEARS","75","Yes","1002166","1001907506","101","01","003300","MN24","40.720135768427","-74.008539077441"
"DC36350","104382","KINDERCARE EDUCATION AT WORK LLC","GCC","INFANT TODDLER","311 GREENWICH  STREET","MANHATTAN","10013","(212) 962-1316","0 YEARS - 2 YEARS","88","Yes","1075706","1001407502","101","01","002100","MN24","40.716737549302","-74.010861785488"
"DC36360","105586","BRONX STARBRIGHT DAYCARE","GCC","INFANT TODDLER","2940 EAST  194 STREET","BRONX","10461","(718) 673-6371","0 YEARS - 2 YEARS","18","No","2088565","2042450013","210","13","030000","BX10","40.852349105814","-73.830392146516"
"DC36363","104747","MAGNOLIA DAYCARE LLC","GCC","INFANT TODDLER","25-13 27TH STREET","QUEENS","11102","(347) 642-8410","0 YEARS - 2 YEARS","26","No","4614936","4008397504","401","22","006900","QN71","40.771726525962","-73.920474627032"
"DC36381","104619","VERNYKIDZ","GCC","INFANT TODDLER","619 HANCOCK STREET","BROOKLYN","11233","(718) 398-8057","NO DATA","41","No","3045837","3016560052","303","36","029500","BK35","40.684773389454","-73.930573542829"
"DC36382","104610","VERNYKIDZ","GCC","PRESCHOOL","619 HANCOCK STREET","BROOKLYN","11233","(718) 398-8057","2 YEARS - 5 YEARS","33","No","3045837","3016560052","303","36","029500","BK35","40.684773389454","-73.930573542829"
"DC36389","105104","MI CASITA INC.","GCC","PRESCHOOL","1060 BEDFORD AVENUE","BROOKLYN","11216","(646) 757-0019","2 YEARS - 5 YEARS","38","No","3055817","3019547503","303","36","023300","BK75","40.688592570212","-73.954966667097"
"DC36390","104363","GOLDEN SUNRISE DAYCARE, LLC","GCC","PRESCHOOL","916 58 STREET","BROOKLYN","11219","(646) 309-5727","2 YEARS - 5 YEARS","45","No","3140567","3057010013","312","43","011600","BK88","40.634962820108","-74.005631380568"
"DC36401","104383","KINDERCARE EDUCATION AT WORK  LLC","GCC","PRESCHOOL","311 GREENWICH  STREET","MANHATTAN","10013","(212) 962-1316","2 YEARS - 5 YEARS","78","Yes","1075706","1001407502","101","01","002100","MN24","40.716737549302","-74.010861785488"
"DC36458","N/A","BASIS INDEPENDENT MANHATTAN","SBCC","PRESCHOOL","795 COLUMBUS AVENUE","MANHATTAN","10025","(347) 305-4960","3 YEARS - 5 YEARS","NO DATA","No","1088631","1018337506","107","07","018500","MN12","40.794552526401","-73.966271257782"
"DC36466","N/A","OHOLEI TORAH","SBCC","PRESCHOOL","407 EAST 53 STREET","BROOKLYN","11203","(718) 485-1600","3 YEARS - 5 YEARS","NO DATA","No","3103944","3047250063","317","45","086200","BK96","40.649662848211","-73.927219110667"
"DC36467","104334","LITTLE FRIENDS SCHOOL SUNNYSIDE INC.","GCC","INFANT TODDLER","4132 44TH ST","QUEENS","11104","(347) 696-4396","0 YEARS - 2 YEARS","27","No","4534472","4001587501","402","26","018300","QN31","40.746493575823","-73.919938252868"
"DC36468","104545","THE LITTLE LEARNING CENTER II","GCC","PRESCHOOL","13-21 COLLEGE POINT BOULEVARD","QUEENS","11356","(718) 661-0811","2 YEARS - 5 YEARS","56","No","4096946","4039970013","407","19","094700","QN23","40.78624975278","-73.8457171962"
"DC36473","104379","GODDARD RIVERSIDE COMMUNITY CENTER","GCC","PRESCHOOL","243 WEST   64 STREET","MANHATTAN","10023","(212) 712-9306","2 YEARS - 5 YEARS","57","No","1030340","1011560020","107","06","015100","MN14","40.774207143518","-73.986937235221"
"DC36487","104941","SHINING SMILES DAYCARE I INC.","GCC","INFANT TODDLER","882 FULTON ST","BROOKLYN","11238","(929) 227-3100","0 YEARS - 2 YEARS","58","No","3426479","3020117502","302","35","019900","BK69","40.683285241352","-73.966021281608"
"DC36522","105002","THE LEARNING EXPERIENCE","GCC","INFANT TODDLER","339 GREENE AVENUE","BROOKLYN","11238","(718) 636-2000","0 YEARS - 2 YEARS","56","No","3396753","3019537503","303","36","023300","BK75","40.68762752143","-73.957891615171"
"DC36579","105039","The Children’s Aid Society","GCC","PRESCHOOL","1232 SOUTHERN BOULEVARD","BRONX","10459","(718) 764-2405","2 YEARS - 5 YEARS","74","Yes","2117981","2029790014","203","17","012500","BX35","40.82930446855","-73.891873374943"
"DC36584","N/A","AARON SCHOOL","SBCC","PRESCHOOL","309 EAST   45 STREET","MANHATTAN","10017","(212) 867-9594","3 YEARS - 5 YEARS","NO DATA","No","1038770","1013380005","106","04","009000","MN19","40.751548816948","-73.970317441072"
"DC36590","104364","LEARNING WHEEL CHILDCARE","GCC","INFANT TODDLER","48 SULLIVAN ST","BROOKLYN","11231","(718) 576-3443","0 YEARS - 2 YEARS","23","No","3008556","3005560032","306","38","005300","BK33","40.677020677106","-74.011060789003"
"DC36597","N/A","The Brooklyn Waldorf School","SBCC","PRESCHOOL","11 JEFFERSON AVENUE","BROOKLYN","11238","(718) 783-3270","3 YEARS - 5 YEARS","62","No","3057308","3019950006","303","36","022700","BK69","40.682486219537","-73.956979074979"
"DC366","3097","SOUND DALE CENTER FOR EARLY CHILDHOOD EDUCATION","GCC","PRESCHOOL","1211 CROES AVENUE","BRONX","10472","(718) 378-0400","2 YEARS - 5 YEARS","160","No","2024083","2037480015","209","18","006800","BX55","40.829760203486","-73.870726296373"
"DC36626","104496","LITTLE MUNCHKINS PLAYGROUP 56 INC.","GCC","PRESCHOOL","145 RUTLEDGE STREET","BROOKLYN","11211","(718) 809-5852","2 YEARS - 5 YEARS","15","No","3425330","3022187505","301","33","053300","BK72","40.701924811968","-73.957265827261"
"DC36640","104497","LITTLE MUNCHKINS PLAYGROUP 56 INC","GCC","INFANT TODDLER","145 RUTLEDGE STREET","BROOKLYN","11211","(718) 809-5852","0 YEARS - 2 YEARS","40","No","3425330","3022187505","301","33","053300","BK72","40.701924811968","-73.957265827261"
"DC36668","104608","BRIGHT HORIZONS AT EAST 46TH STREET","GCC","INFANT TODDLER","127 EAST 46TH STREET","MANHATTAN","10017","(646) 348-9011","0 YEARS - 2 YEARS","36","No","1036206","1013010023","106","04","009200","MN19","40.753893723083","-73.973943827333"
"DC36669","104607","BRIGHT HORIZONS AT EAST 46TH STREET","GCC","PRESCHOOL","127 EAST 46TH STREET","MANHATTAN","10017","(646) 348-9011","2 YEARS - 5 YEARS","59","No","1036206","1013010023","106","04","009200","MN19","40.753893723083","-73.973943827333"
"DC36713","N/A","YESHIVA TIFERETH MOSHE","SBCC","PRESCHOOL","83-06 ABINGDON ROAD","QUEENS","11415","(718) 872-8260","3 YEARS - 5 YEARS","NO DATA","No","4437658","4033290011","409","29","077500","QN60","40.707787736281","-73.833827241674"
